,count+mnb,count+svm,count+mlp,tfidf+mnb, tfidf+svm, tfidf+mlp,sum
web-applications ,0,0,1,0,0,0,1
html ,0,0,1,0,0,0,1
.net ,0,0,0,0,0,1,1
cross-platform ,0,0,1,0,0,0,1
api ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
http ,0,0,1,0,0,0,1
algorithm ,0,0,0,0,0,1,1
python ,0,0,0,0,0,1,1
algorithm ,0,0,0,0,0,1,1
.net ,0,0,0,0,0,1,1
java ,0,0,1,0,0,0,1
s ,0,0,0,0,0,1,1
pdf ,0,0,0,0,0,1,1
amqp ,0,0,0,0,0,1,1
java ,1,0,0,0,0,0,1
database ,0,0,1,0,0,0,1
java ,0,0,0,0,0,1,1
ios ,0,0,0,0,0,1,1
interface ,0,0,1,0,0,0,1
audio ,0,0,0,0,0,1,1
database ,0,0,1,0,0,0,1
executable ,0,0,0,0,0,1,1
c++ ,0,0,0,0,0,1,1
server ,0,0,0,0,0,1,1
server ,0,0,0,0,0,1,1
sql ,0,0,1,0,0,0,1
php ,0,0,0,0,0,1,1
oauth ,0,0,1,0,0,0,1
python ,0,0,0,0,0,1,1
python ,0,0,1,0,0,0,1
c++ ,0,0,0,0,0,1,1
database ,0,0,1,0,0,0,1
asp.net ,0,0,1,0,0,0,1
algorithm ,0,0,0,0,0,1,1
python ,0,0,0,0,0,1,1
svn ,0,0,1,0,0,0,1
java ,0,0,0,0,0,1,1
server ,0,0,0,0,0,1,1
api ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
text-to-speech ,0,0,0,0,0,1,1
perl ,0,0,1,0,0,0,1
java ,0,0,0,0,0,1,1
python ,0,0,0,0,0,1,1
web-applications ,0,0,1,0,0,0,1
real-time ,0,0,0,0,0,1,1
s ,1,0,0,0,0,0,1
python ,0,0,0,0,0,1,1
nfc ,0,0,0,0,0,1,1
interface ,0,0,1,0,0,0,1
s ,0,0,0,0,0,1,1
graphics ,0,0,0,0,0,1,1
java ,0,0,1,0,0,0,1
html ,0,0,0,0,0,1,1
php ,0,0,0,0,0,1,1
web-applications ,0,0,1,0,0,0,1
java ,0,0,0,0,0,1,1
.net ,0,0,1,0,0,0,1
s ,0,0,0,0,0,1,1
android ,0,0,0,0,0,1,1
.net ,0,0,1,0,0,0,1
sql ,0,0,1,0,0,0,1
s ,0,0,0,0,0,1,1
server ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
toolkit ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
java ,1,0,0,0,0,0,1
server ,0,0,0,0,0,1,1
s ,1,0,0,0,0,0,1
fortran ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
scala ,0,0,0,0,0,1,1
database ,0,0,1,0,0,0,1
python ,0,0,1,0,0,0,1
android ,0,0,0,0,0,1,1
server ,0,0,0,0,0,1,1
sql ,0,0,1,0,0,0,1
open-source ,0,0,1,0,0,0,1
java ,1,0,0,0,0,0,1
open-source ,0,0,1,0,0,0,1
java ,0,0,1,0,0,0,1
macros ,0,0,1,0,0,0,1
widget ,0,0,1,0,0,0,1
s ,0,0,0,0,0,1,1
.net ,0,0,0,0,0,1,1
ios ,0,0,0,0,0,1,1
server ,0,0,0,0,0,1,1
java ,1,0,0,0,0,0,1
open-source ,0,0,1,0,0,0,1
nfc ,0,0,0,0,0,1,1
php ,0,0,0,0,0,1,1
qt ,0,0,0,0,0,1,1
java ,0,0,0,0,0,1,1
java ,1,0,0,0,0,0,1
qt ,0,0,1,0,0,0,1
spreadsheet ,0,0,1,0,0,0,1
xml ,0,0,1,0,0,0,1
database ,0,0,0,0,0,1,1
kendo-ui ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
ruby ,0,0,0,0,0,1,1
kendo-ui ,0,0,0,0,0,1,1
snmp ,0,0,0,0,0,1,1
s ,0,0,0,0,0,1,1
.net ,0,0,1,0,0,0,1
s ,0,0,0,0,0,1,1
php ,0,0,0,0,0,0,0
ruby ,0,0,0,0,0,0,0
interface ,0,0,0,0,0,0,0
audio ,0,0,0,0,0,0,0
interface ,0,0,0,0,0,0,0
transactional ,0,0,0,0,0,0,0
odp.net ,0,0,0,0,0,0,0
interface ,0,0,0,0,0,0,0
abstract-algebra ,0,0,0,0,0,0,0
module ,0,0,0,0,0,0,0
extjs ,0,0,0,0,0,0,0
grid ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
c++ ,0,0,0,0,0,0,0
deepsql ,0,0,0,0,0,0,0
web-services ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
xunit ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
.net ,0,0,0,0,0,0,0
polygon ,0,0,0,0,0,0,0
hierarchical ,0,0,0,0,0,0,0
jquery ,0,0,0,0,0,0,0
core-animation ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
test-coverage ,0,0,0,0,0,0,0
connectivity ,0,0,0,0,0,0,0
gwt ,0,0,0,0,0,0,0
html ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
syslog ,0,0,0,0,0,0,0
templating ,0,0,0,0,0,0,0
elisp ,0,0,0,0,0,0,0
gameobject ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
iot ,0,0,0,0,0,0,0
html ,0,0,0,0,0,0,0
postgres-plus ,0,0,0,0,0,0,0
aws-lambda ,0,0,0,0,0,0,0
postgresql ,0,0,0,0,0,0,0
asp.net ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
cpu ,0,0,0,0,0,0,0
c++ ,0,0,0,0,0,0,0
node.js ,0,0,0,0,0,0,0
metadata ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
scala ,0,0,0,0,0,0,0
pdf ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
login ,0,0,0,0,0,0,0
server-side ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
